"","date","count"
"2285",2019-01-05,1191580
"2286",2019-01-06,1183689
"2287",2019-01-07,2544765
"2288",2019-01-08,2984455
"2289",2019-01-09,3019918
"2290",2019-01-10,2906992
"2291",2019-01-11,2586663
"2292",2019-01-12,1433684
"2293",2019-01-13,1414192
"2294",2019-01-14,2878692
"2295",2019-01-15,3171346
"2296",2019-01-16,3201684
"2297",2019-01-17,3032599
"2298",2019-01-18,2790579
"2299",2019-01-19,1596952
"2300",2019-01-20,1483210
"2301",2019-01-21,2699658
"2302",2019-01-22,3193451
"2303",2019-01-23,3452572
"2304",2019-01-24,3174098
"2305",2019-01-25,2947345
"2306",2019-01-26,1442386
"2307",2019-01-27,1369890
"2308",2019-01-28,2992207
"2309",2019-01-29,3080305
"2310",2019-01-30,3115462
"2311",2019-01-31,2886737
"2312",2019-02-01,2665973
"2313",2019-02-02,1364597
"2314",2019-02-03,1389895
"2315",2019-02-04,2864816
"2316",2019-02-05,3026029
"2317",2019-02-06,3126076
"2318",2019-02-07,3079783
"2319",2019-02-08,2736513
"2320",2019-02-09,1592208
"2321",2019-02-10,1596633
"2322",2019-02-11,3174447
"2323",2019-02-12,3256478
"2324",2019-02-13,3340159
"2325",2019-02-14,3048386
"2326",2019-02-15,2785424
"2327",2019-02-16,1482942
"2328",2019-02-17,1562226
"2329",2019-02-18,2951514
"2330",2019-02-19,3209546
"2331",2019-02-20,3437899
"2332",2019-02-21,3215488
"2333",2019-02-22,2889872
"2334",2019-02-23,1497556
"2335",2019-02-24,1475101
"2336",2019-02-25,3059053
"2337",2019-02-26,3188535
"2338",2019-02-27,3124252
"2339",2019-02-28,3038385
"2340",2019-03-01,2745045
"2341",2019-03-02,1552155
"2342",2019-03-03,1626716
"2343",2019-03-04,3177273
"2344",2019-03-05,3406436
"2345",2019-03-06,3466594
"2346",2019-03-07,3435575
"2347",2019-03-08,2898189
"2348",2019-03-09,1640284
"2349",2019-03-10,1583039
"2350",2019-03-11,3250080
"2351",2019-03-12,3432842
"2352",2019-03-13,3565476
"2353",2019-03-14,3321609
"2354",2019-03-15,2953317
"2355",2019-03-16,1678955
"2356",2019-03-17,1740781
"2357",2019-03-18,3350000
"2358",2019-03-19,3526716
"2359",2019-03-20,3588575
"2360",2019-03-21,3205735
"2361",2019-03-22,2980819
"2362",2019-03-23,1649708
"2363",2019-03-24,1635531
"2364",2019-03-25,3372792
"2365",2019-03-26,3510107
"2366",2019-03-27,3618618
"2367",2019-03-28,3387674
"2368",2019-03-29,2913023
"2369",2019-03-30,1539876
"2370",2019-03-31,1604977
"2371",2019-04-01,3209146
"2372",2019-04-02,3579518
"2373",2019-04-03,3561940
"2374",2019-04-04,3356194
"2375",2019-04-05,2916302
"2376",2019-04-06,1686660
"2377",2019-04-07,1650173
"2378",2019-04-08,3369344
"2379",2019-04-09,3509140
"2380",2019-04-10,3592299
"2381",2019-04-11,3279415
"2382",2019-04-12,2958889
"2383",2019-04-13,1610975
"2384",2019-04-14,1603488
"2385",2019-04-15,3120190
"2386",2019-04-16,3157701
"2387",2019-04-17,3463540
"2388",2019-04-18,2899293
"2389",2019-04-19,2307541
"2390",2019-04-20,1523904
"2391",2019-04-21,1457773
"2392",2019-04-22,2519866
"2393",2019-04-23,3075545
"2394",2019-04-24,3292028
"2395",2019-04-25,3193704
"2396",2019-04-26,2868266
"2397",2019-04-27,1854905
"2398",2019-04-28,2027184
"2399",2019-04-29,3728183
"2400",2019-04-30,3515773
"2401",2019-05-01,2982868
"2402",2019-05-02,3662313
"2403",2019-05-03,3118319
"2404",2019-05-04,1734775
"2405",2019-05-05,1828805
"2406",2019-05-06,3799777
"2407",2019-05-07,3869997
"2408",2019-05-08,3929118
"2409",2019-05-09,3477647
"2410",2019-05-10,2983663
"2411",2019-05-11,1673722
"2412",2019-05-12,1918842
"2413",2019-05-13,3671733
"2414",2019-05-14,3756612
"2415",2019-05-15,4763089
"2416",2019-05-16,3978280
"2417",2019-05-17,3234682
"2418",2019-05-18,2069272
"2419",2019-05-19,1963756
"2420",2019-05-20,3344580
"2421",2019-05-21,3524689
"2422",2019-05-22,3438337
"2423",2019-05-23,3322758
"2424",2019-05-24,2946488
"2425",2019-05-25,1603590
"2426",2019-05-26,1609774
"2427",2019-05-27,2804900
"2428",2019-05-28,3357745
"2429",2019-05-29,3402931
"2430",2019-05-30,2850552
"2431",2019-05-31,2679422
"2432",2019-06-01,1521284
"2433",2019-06-02,1430552
"2434",2019-06-03,2984098
"2435",2019-06-04,3252835
"2436",2019-06-05,3227315
"2437",2019-06-06,3056531
"2438",2019-06-07,2713650
"2439",2019-06-08,1432759
"2440",2019-06-09,1393347
"2441",2019-06-10,2767849
"2442",2019-06-11,3153171
"2443",2019-06-12,3258099
"2444",2019-06-13,3300717
"2445",2019-06-14,2871720
"2446",2019-06-15,1475637
"2447",2019-06-16,1444442
"2448",2019-06-17,3294153
"2449",2019-06-18,3325212
"2450",2019-06-19,3372372
"2451",2019-06-20,2986098
"2452",2019-06-21,2709369
"2453",2019-06-22,1729610
"2454",2019-06-23,1681094
"2455",2019-06-24,3111774
"2456",2019-06-25,3515805
"2457",2019-06-26,2916879
"2458",2019-06-27,2907564
"2459",2019-06-28,2928159
"2460",2019-06-29,1842292
"2461",2019-06-30,1700347
"2462",2019-07-01,3149398
"2463",2019-07-02,3201963
"2464",2019-07-03,3403921
"2465",2019-07-04,2766030
"2466",2019-07-05,2691381
"2467",2019-07-06,1768719
"2468",2019-07-07,1756091
"2469",2019-07-08,3485803
"2470",2019-07-09,3630382
"2471",2019-07-10,3417224
"2472",2019-07-11,3269438
"2473",2019-07-12,2990480
"2474",2019-07-13,1746158
"2475",2019-07-14,1642512
"2476",2019-07-15,3159716
"2477",2019-07-16,3341323
"2478",2019-07-17,3462873
"2479",2019-07-18,3677803
"2480",2019-07-19,2982300
"2481",2019-07-20,1740778
"2482",2019-07-21,1842284
"2483",2019-07-22,3652808
"2484",2019-07-23,3606169
"2485",2019-07-24,3471845
"2486",2019-07-25,3358297
"2487",2019-07-26,3276984
"2488",2019-07-27,1881996
"2489",2019-07-28,1711004
"2490",2019-07-29,3263079
"2491",2019-07-30,3515799
"2492",2019-07-31,3641294
"2493",2019-08-01,3074413
"2494",2019-08-02,2940846
"2495",2019-08-03,1641698
"2496",2019-08-04,1565856
"2497",2019-08-05,3251527
"2498",2019-08-06,3481356
"2499",2019-08-07,3847651
"2500",2019-08-08,3232985
"2501",2019-08-09,2891245
"2502",2019-08-10,1709847
"2503",2019-08-11,1862135
"2504",2019-08-12,3215531
"2505",2019-08-13,3405344
"2506",2019-08-14,3192546
"2507",2019-08-15,2774599
"2508",2019-08-16,2776527
"2509",2019-08-17,1781819
"2510",2019-08-18,1687899
"2511",2019-08-19,3211237
"2512",2019-08-20,3385195
"2513",2019-08-21,3527499
"2514",2019-08-22,3465295
"2515",2019-08-23,3008340
"2516",2019-08-24,1856292
"2517",2019-08-25,1738301
"2518",2019-08-26,3527950
"2519",2019-08-27,4112334
"2520",2019-08-28,4135413
"2521",2019-08-29,3658681
"2522",2019-08-30,3523845
"2523",2019-08-31,1899978
"2524",2019-09-01,1804997
"2525",2019-09-02,3020588
"2526",2019-09-03,4007446
"2527",2019-09-04,4450252
"2528",2019-09-05,4206407
"2529",2019-09-06,3737129
"2530",2019-09-07,2377237
"2531",2019-09-08,2272471
"2532",2019-09-09,4387369
"2533",2019-09-10,4673843
"2534",2019-09-11,4504512
"2535",2019-09-12,4327595
"2536",2019-09-13,3740963
"2537",2019-09-14,2394229
"2538",2019-09-15,2602903
"2539",2019-09-16,4620235
"2540",2019-09-17,5254538
"2541",2019-09-18,4952688
"2542",2019-09-19,4552267
"2543",2019-09-20,3922262
"2544",2019-09-21,2540361
"2545",2019-09-22,2446702
"2546",2019-09-23,4623750
"2547",2019-09-24,4641637
"2548",2019-09-25,4855419
"2549",2019-09-26,4405421
"2550",2019-09-27,3926327
"2551",2019-09-28,2395259
"2552",2019-09-29,2371596
"2553",2019-09-30,4327732
"2554",2019-10-01,4523362
"2555",2019-10-02,4482748
"2556",2019-10-03,4566851
"2557",2019-10-04,4081197
"2558",2019-10-05,2700067
"2559",2019-10-06,2591587
"2560",2019-10-07,4485923
"2561",2019-10-08,4753861
"2562",2019-10-09,4878505
"2563",2019-10-10,4628817
"2564",2019-10-11,4275141
"2565",2019-10-12,2745309
"2566",2019-10-13,2587853
"2567",2019-10-14,4496437
"2568",2019-10-15,4642951
"2569",2019-10-16,4642723
"2570",2019-10-17,4497764
"2571",2019-10-18,4051942
"2572",2019-10-19,2542238
"2573",2019-10-20,2346555
"2574",2019-10-21,4731403
"2575",2019-10-22,5203925
"2576",2019-10-23,5098038
"2577",2019-10-24,4694661
"2578",2019-10-25,3946981
"2579",2019-10-26,2387028
"2580",2019-10-27,2408725
"2581",2019-10-28,4287734
"2582",2019-10-29,4727441
"2583",2019-10-30,4695883
"2584",2019-10-31,4429192
"2585",2019-11-01,3592275
"2586",2019-11-02,2438514
"2587",2019-11-03,2448016
"2588",2019-11-04,4329281
"2589",2019-11-05,4788998
"2590",2019-11-06,4738645
"2591",2019-11-07,4564812
"2592",2019-11-08,4038175
"2593",2019-11-09,2587217
"2594",2019-11-10,2533010
"2595",2019-11-11,4428216
"2596",2019-11-12,4823647
"2597",2019-11-13,4799117
"2598",2019-11-14,4633570
"2599",2019-11-15,4121683
"2600",2019-11-16,3670902
"2601",2019-11-17,2654116
"2602",2019-11-18,4800366
"2603",2019-11-19,5143033
"2604",2019-11-20,4857180
"2605",2019-11-21,4813469
"2606",2019-11-22,4418294
"2607",2019-11-23,2671869
"2608",2019-11-24,3522495
"2609",2019-11-25,4634529
"2610",2019-11-26,4973186
"2611",2019-11-27,5659645
"2612",2019-11-28,4057708
"2613",2019-11-29,3429493
"2614",2019-11-30,2556646
"2615",2019-12-01,2742948
"2616",2019-12-02,4669516
"2617",2019-12-03,4793916
"2618",2019-12-04,5148403
"2619",2019-12-05,4542929
"2620",2019-12-06,4272093
"2621",2019-12-07,2574752
"2622",2019-12-08,2694279
"2623",2019-12-09,4561914
"2624",2019-12-10,4619805
"2625",2019-12-11,4872090
"2626",2019-12-12,4525945
"2627",2019-12-13,3937267
"2628",2019-12-14,2610339
"2629",2019-12-15,2579876
"2630",2019-12-16,4269400
"2631",2019-12-17,4412270
"2632",2019-12-18,4213562
"2633",2019-12-19,4022215
"2634",2019-12-20,3798945
"2635",2019-12-21,3646376
"2636",2019-12-22,2448622
"2637",2019-12-23,3159715
"2638",2019-12-24,2604467
"2639",2019-12-25,2320224
"2640",2019-12-26,2678750
"2641",2019-12-27,2733643
"2642",2019-12-28,2344874
"2643",2019-12-29,2349963
"2644",2019-12-30,3113980
"2645",2019-12-31,2576283
"2646",2020-01-01,2254614
"2647",2020-01-02,3266473
"2648",2020-01-03,3443137
"2649",2020-01-04,3642589
"2650",2020-01-05,2538917
"2651",2020-01-06,4181163
"2652",2020-01-07,4659837
"2653",2020-01-08,4951405
"2654",2020-01-09,4858602
"2655",2020-01-10,4391885
"2656",2020-01-11,2889287
"2657",2020-01-12,2838196
"2658",2020-01-13,4755602
"2659",2020-01-14,5102596
"2660",2020-01-15,5069643
"2661",2020-01-16,4981163
"2662",2020-01-17,4424491
"2663",2020-01-18,2563475
"2664",2020-01-19,2690310
"2665",2020-01-20,4249834
"2666",2020-01-21,5071442
"2667",2020-01-22,5158717
"2668",2020-01-23,4939218
"2669",2020-01-24,4409629
"2670",2020-01-25,2890335
"2671",2020-01-26,2900743
"2672",2020-01-27,4861061
"2673",2020-01-28,5233421
"2674",2020-01-29,5489446
"2675",2020-01-30,4977937
"2676",2020-01-31,4580226
"2677",2020-02-01,2870181
"2678",2020-02-02,2785165
"2679",2020-02-03,4785205
"2680",2020-02-04,5142947
"2681",2020-02-05,5123899
"2682",2020-02-06,5141782
"2683",2020-02-07,4828089
"2684",2020-02-08,3079561
"2685",2020-02-09,2882029
"2686",2020-02-10,5003252
"2687",2020-02-11,5269510
"2688",2020-02-12,5424355
"2689",2020-02-13,5046287
"2690",2020-02-14,4381460
"2691",2020-02-15,2755276
"2692",2020-02-16,2771431
"2693",2020-02-17,4716063
"2694",2020-02-18,5348378
"2695",2020-02-19,5614446
"2696",2020-02-20,5232335
"2697",2020-02-21,4654017
"2698",2020-02-22,3028871
"2699",2020-02-23,3098038
"2700",2020-02-24,4953576
"2701",2020-02-25,5133750
